-1           init_dist() [8200273us]
3617: 5759563           ran(35) (17696us)          
3681: 5759557           ran(73) (36891us)          
3683: 5759550           ran(60) (30322us)          
3721: 5759542           ran(89) (45001us)          
3808: 5759541           ran(64) (32358us)          
3850: 5759540           ran(53) (26813us)          
4148: 5759538           ran(29) (14681us)          
4335: 5759518           ran(111) (56162us)          
4723: 5759486           rad(63357,26) (13132us)          
4798: 5759480           ran(147) (74470us)          
4845: 5759430           ran(89) (45086us)          
4912: 5759429           ran(41) (20779us)          
5100: 5759426           rad(40344,26) (13144us)          
5253: 5759414           ran(84) (42559us)          
5268: 5759390           ran(38) (19273us)          
5415: 5759382           rad(2549,13) (6585us)          
5443: 5759381           ran(87) (44093us)          
5550: 5759378           ran(36) (18232us)          
5898: 5759377           ran(80) (40587us)          
6143: 5759363           rad(81141,17) (8616us)          
6239: 5759351           ran(94) (47697us)          
6405: 5759339           ran(99) (50267us)          
6423: 5759331           ran(100) (50743us)          
6554: 5759312           ran(69) (34996us)          
6558: 5759309           rad(85997,15) (7588us)          
6591: 5759297           ran(86) (43620us)          
6671: 5759282           ran(36) (18250us)          
6730: 5759281           ran(63) (31933us)          
6745: 5759276           ran(65) (32963us)          
6788: 5759270           ran(79) (40109us)          
6789: 5759264           ran(44) (22316us)          
6964: 5759260           ran(72) (36535us)          
6980: 5759255           ran(23) (11655us)          
6988: 5759250           ran(43) (21795us)          
7112: 5759246           ran(25) (12692us)          
7191: 5759243           ran(79) (40100us)          
7236: 5759238           ran(27) (13686us)          
7253: 5759229           ran(70) (35544us)          
7514: 5759224           ran(36) (18304us)          
7698: 5759215           ran(93) (47171us)          
8347: 5759213           ran(89) (45194us)          
8377: 5759188           ran(51) (25917us)          
8477: 5759178           ran(65) (33018us)          
8538: 5759164           ran(57) (28954us)          
8652: 5759161           ran(41) (20818us)          
8809: 5759151           ran(78) (39597us)          
8832: 5759147           ran(27) (13683us)          
8943: 5759143           rad(85119,15) (7606us)          
9089: 5759134           ran(82) (41683us)          
10021: 5759131           ran(68) (34543us)          
10213: 5759119           ran(64) (32519us)          
11759: 5759114           rad(49654,27) (13733us)          
12256: 5759106           ran(6) (3048us)          
12542: 5759098           ran(12) (6090us)          
12692: 5759081           seq(70213,8) (4050us)          
13561: 5759078           ran(39) (19807us)          
17399: 5759076           ran(70) (35666us)          
17513: 5759054           ran(76) (38688us)          
17550: 5759040           ran(61) (31073us)          
21043: 5759033           ran(72) (36684us)          
22209: 5759031           rad(79732,9) (4563us)          
22696: 5759029           rad(79253,10) (5082us)          
22872: 5759028           ran(37) (18858us)          
23089: 5759013           rad(19353,19) (9692us)          
23096: 5759007           ran(23) (11726us)          
23165: 5759004           ran(113) (57583us)          
23288: 5758984           rad(49658,54) (27517us)          
23322: 5758962           ran(85) (43411us)          
23433: 5758956           rad(71790,17) (8646us)          
23739: 5758942           ran(89) (45366us)          
24402: 5758935           ran(78) (39745us)          
24485: 5758933           ran(38) (19343us)          
24561: 5758932           ran(116) (59147us)          
24620: 5758928           ran(100) (50969us)          
24714: 5758925           ran(70) (35671us)          
24744: 5758919           ran(67) (34147us)          
25101: 5758918           ran(18) (9184us)          
25224: 5758911           rad(74915,6) (3051us)          
26867: 5758908           ran(94) (47917us)          
32651: 5758904           rad(17979,19) (9685us)          
32680: 5758902           ran(56) (28535us)          
32810: 5758895           ran(60) (30564us)          
33173: 5758882           ran(44) (22462us)          
33227: 5758880           ran(69) (35173us)          
33260: 5758858           ran(34) (17340us)          
34135: 5758855           rad(76502,19) (9674us)          
35755: 5758853           ran(48) (24472us)          
37313: 5758843           rad(87710,7) (3565us)          
39122: 5758842           ran(50) (25474us)          
39280: 5758836           ran(30) (15294us)          
39828: 5758832           rad(77749,9) (4580us)          
40612: 5758824           ran(107) (54500us)          
40771: 5758823           ran(57) (29038us)          
41107: 5758821           ran(66) (33632us)          
44307: 5758810           rad(296,20) (10200us)          
44614: 5758795           rad(42662,22) (11210us)          
47714: 5758794           rad(67979,10) (5090us)          
47893: 5758789           ran(82) (41812us)          
48673: 5758777           rad(19353,14) (7130us)          
48683: 5758776           ran(98) (49964us)          
51195: 5758774           ran(28) (14272us)          
54157: 5758771           ran(60) (30588us)          
55552: 5758769           rad(78687,7) (3571us)          
58686: 5758764           ran(17) (8655us)          
60794: 5758755           ran(42) (21415us)          
66262: 5758750           rad(24655,26) (13230us)          
66757: 5758745           rad(92230,20) (10190us)          
68606: 5758725           ran(55) (28032us)          
72848: 5758724           ran(68) (34664us)          
75823: 5758723           rad(80164,24) (12232us)          
75926: 5758720           ran(43) (21906us)          
79709: 5758715           rad(95962,10) (5088us)          
80331: 5758713           rad(35769,19) (9680us)          
80797: 5758706           ran(120) (61121us)          
81500: 5758703           ran(29) (14778us)          
85769: 5758702           rad(2972,19) (9674us)          
87651: 5758699           ran(59) (30049us)          
89054: 5758694           rad(28310,18) (9165us)          
89589: 5758690           rad(5475,15) (7634us)          
89882: 5758685           ran(27) (13762us)          
90848: 5758675           rad(88801,10) (5092us)          
91004: 5758670           ran(58) (29545us)          
91569: 5758668           rad(68086,29) (14782us)          
91773: 5758667           ran(76) (38724us)          
91985: 5758655           rad(7398,15) (7656us)          
92128: 5758650           ran(113) (57562us)          
92569: 5758644           ran(34) (17333us)          
92779: 5758633           ran(44) (22402us)          
94006: 5758632           ran(101) (51454us)          
94115: 5758622           ran(32) (16301us)          
94917: 5758610           rad(96523,13) (6618us)          
95383: 5758608           ran(34) (17320us)          
95486: 5758603           ran(25) (12747us)          
95615: 5758581           ran(162) (82510us)          
95725: 5758579           ran(26) (13245us)          
95778: 5758576           ran(82) (41753us)          
96075: 5758575           ran(112) (57039us)          
96337: 5758564           ran(27) (13747us)          
96559: 5758553           rad(78080,30) (15283us)          
96707: 5758547           ran(44) (22422us)          
96780: 5758537           ran(49) (24965us)          
98483: 5758525           rad(81990,10) (5087us)          
98625: 5758512           ran(77) (39246us)          
99097: 5758501           ran(94) (47859us)          
99303: 5758494           ran(75) (38208us)          
99365: 5758491           ran(108) (54976us)          
105080: 5758487           rad(68341,8) (4072us)          
106919: 5758474           rad(55385,10) (5086us)          
112265: 5758468           ran(153) (77890us)          
112326: 5758455           ran(61) (31082us)          
112475: 5758453           ran(40) (20380us)          
115245: 5758447           rad(50759,14) (7139us)          
116519: 5758445           ran(29) (14783us)          
120214: 5758430           rad(97915,13) (6618us)          
120931: 5758429           rad(89495,10) (5096us)          
121020: 5758428           ran(52) (26541us)          
148282: 5758427           rad(17197,24) (12247us)          
148409: 5758405           ran(47) (23962us)          
148651: 5758387           ran(51) (26002us)          
153832: 5758385           rad(27942,6) (3049us)          
160332: 5758383           rad(69450,10) (5092us)          
160335: 5758373           rad(35954,13) (6618us)          
161690: 5758367           ran(59) (30053us)          
168921: 5758360           rad(47738,14) (7134us)          
178359: 5758351           rad(37996,34) (17323us)          
178388: 5758348           ran(47) (23947us)          
178498: 5758344           ran(15) (7637us)          
179707: 5758343           rad(63357,7) (3568us)          
214760: 5758341           rad(48288,12) (6137us)          
215356: 5758338           ran(21) (10715us)          
216664: 5758328           ran(116) (59140us)          
219157: 5758321           rad(80809,15) (7652us)          
222547: 5758320           rad(36778,25) (12820us)          
223922: 5758319           ran(57) (29224us)          
224231: 5758309           ran(102) (52366us)          
231842: 5758307           ran(107) (54582us)          
247405: 5758303           rad(69595,9) (4594us)          
248327: 5758301           ran(86) (43884us)          
248701: 5758299           ran(17) (8666us)          
268599: 5758297           rad(40915,26) (13316us)          
278935: 5758294           rad(71794,9) (4616us)          
279945: 5758292           ran(42) (21538us)          
280294: 5758283           ran(10) (5131us)          
280792: 5758274           rad(89180,18) (9216us)          
281197: 5758265           ran(7) (3586us)          
284693: 5758260           ran(56) (28725us)          
294904: 5758256           ran(95) (48655us)          
300098: 5758245           rad(16693,14) (7174us)          
317478: 5758230           rad(70809,23) (11790us)          
321060: 5758220           rad(20767,30) (15372us)          
321331: 5758213           ran(47) (24116us)          
321542: 5758211           ran(53) (27202us)          
321561: 5758210           ran(87) (44661us)          
321927: 5758203           rad(32792,16) (8197us)          
322161: 5758197           ran(95) (48759us)          
322299: 5758195           ran(43) (22009us)          
351854: 5758193           ran(150) (76825us)          
353194: 5758191           rad(20858,12) (6141us)          
374820: 5758188           rad(76962,28) (14341us)          
418477: 5758178           rad(83812,9) (4617us)          
454394: 5758175           rad(96694,16) (8154us)          
479435: 5758174           rad(12284,15) (7642us)          
567292: 5758172           rad(69245,13) (6678us)          
575628: 5758171           ran(21) (10700us)          
575896: 5758160           ran(42) (21445us)          
599718: 5758147           rad(88406,9) (4595us)          
608267: 5758146           rad(83963,14) (7149us)          
608908: 5758144           ran(10) (5118us)          
632979: 5758141           rad(21153,25) (12772us)          
633035: 5758136           ran(34) (17365us)          
633114: 5758131           ran(51) (26039us)          
720270: 5758128           rad(86193,11) (5638us)          
767647: 5758124           rad(4039,10) (5107us)          
768283: 5758115           rad(46984,24) (12279us)          
768331: 5758114           ran(55) (28114us)          
768495: 5758110           ran(26) (13295us)          
769000: 5758107           ran(74) (37860us)          
769070: 5758104           ran(33) (16859us)          
770609: 5758103           ran(52) (26593us)          
774414: 5758102           rad(35990,22) (11237us)          
778153: 5758087           ran(101) (51693us)          
778159: 5758062           ran(35) (17899us)          
787816: 5758060           rad(27334,6) (3066us)          
798120: 5758058           ran(33) (16979us)          
852581: 5758056           rad(27053,7) (3580us)          
857038: 5758029           rad(98966,18) (9219us)          
927093: 5758027           rad(43406,11) (5633us)          
927933: 5758026           ran(33) (16903us)          
968257: 5758019           rad(48064,30) (15374us)          
5758019           local minimum found (1000000 greedy mutations; seed=1234)

-51111           ms (only recreate)


51873.04user 4.12system 14:24:40elapsed 99%CPU (0avgtext+0avgdata 12066816maxresident)k
0inputs+2856outputs (0major+3016064minor)pagefaults 0swaps
