-1           init_dist() [27888049us]
4841: 5758779           rad(98243,5) (2541us)          
5142: 5758749           rad(52590,33) (16829us)          
5167: 5758739           ran(38) (19330us)          
7474: 5758735           ran(52) (26564us)          
7599: 5758710           rad(9830,19) (9717us)          
7715: 5758704           ran(69) (35293us)          
7799: 5758696           rad(42626,22) (11247us)          
7802: 5758695           ran(29) (14830us)          
7804: 5758690           rad(34360,10) (5116us)          
8669: 5758686           ran(78) (40018us)          
8973: 5758681           rad(45073,19) (9717us)          
9140: 5758675           rad(49309,24) (12329us)          
9174: 5758671           ran(93) (47706us)          
9279: 5758659           ran(51) (26183us)          
9285: 5758656           ran(48) (24647us)          
9381: 5758654           ran(19) (9758us)          
9424: 5758649           ran(33) (16928us)          
9464: 5758643           rad(39720,22) (11256us)          
11024: 5758634           ran(39) (20084us)          
11287: 5758592           rad(56851,33) (16985us)          
11307: 5758582           ran(37) (19041us)          
11417: 5758576           ran(48) (24718us)          
11755: 5758570           ran(56) (28833us)          
12636: 5758567           ran(35) (18060us)          
12680: 5758557           rad(72374,10) (5163us)          
12704: 5758550           ran(31) (16013us)          
14846: 5758548           rad(31215,15) (7737us)          
16608: 5758547           ran(58) (30106us)          
17543: 5758545           rad(38377,19) (9847us)          
17574: 5758542           ran(88) (45806us)          
17601: 5758535           ran(47) (24417us)          
17661: 5758528           ran(66) (34338us)          
17912: 5758525           ran(56) (29151us)          
17964: 5758512           ran(37) (19241us)          
19169: 5758476           ran(40) (20812us)          
19176: 5758474           ran(76) (39595us)          
19209: 5758471           ran(42) (21850us)          
19229: 5758459           ran(38) (19776us)          
19371: 5758441           rad(2651,15) (7804us)          
19377: 5758439           ran(86) (44803us)          
19378: 5758438           ran(29) (15115us)          
19546: 5758433           ran(100) (52106us)          
19955: 5758432           rad(54460,19) (9873us)          
21307: 5758430           ran(76) (39653us)          
21381: 5758419           ran(34) (17751us)          
22910: 5758408           ran(38) (19855us)          
23764: 5758401           ran(66) (34570us)          
23931: 5758392           rad(82128,17) (8900us)          
24107: 5758390           ran(9) (4703us)          
24339: 5758385           rad(64999,15) (7851us)          
25068: 5758356           rad(21441,37) (19389us)          
25280: 5758349           ran(69) (36142us)          
25637: 5758343           ran(36) (18896us)          
25949: 5758334           rad(4899,19) (9954us)          
25965: 5758323           ran(32) (16825us)          
26159: 5758317           ran(76) (39941us)          
26293: 5758299           rad(16569,50) (26287us)          
26488: 5758290           ran(43) (22600us)          
26505: 5758287           seq(44226,4) (2109us)          
26548: 5758277           ran(48) (25234us)          
26559: 5758266           ran(41) (21554us)          
30558: 5758257           rad(86092,9) (4734us)          
31201: 5758246           ran(34) (17942us)          
31383: 5758242           ran(70) (36972us)          
32365: 5758236           ran(31) (16375us)          
32908: 5758204           rad(98243,23) (12127us)          
34248: 5758199           ran(70) (37049us)          
47496: 5758171           rad(56614,27) (14454us)          
49992: 5758163           ran(37) (19857us)          
50424: 5758160           seq(62826,119) (3744us)          
50774: 5758159           ran(65) (34957us)          
55218: 5758149           ran(54) (29123us)          
55639: 5758143           ran(34) (18334us)          
65604: 5758142           ran(69) (37553us)          
65819: 5758140           ran(44) (23963us)          
67158: 5758130           seq(52151,173) (2170us)          
70695: 5758119           rad(9839,11) (6028us)          
72267: 5758118           rad(17063,14) (7654us)          
72963: 5758115           rad(96630,11) (6000us)          
73417: 5758107           ran(63) (34462us)          
74344: 5758078           rad(73311,6) (3279us)          
74693: 5758073           rad(46810,13) (7109us)          
74891: 5758071           ran(26) (14214us)          
76931: 5758060           ran(54) (29661us)          
77039: 5758059           ran(32) (17582us)          
90087: 5758049           ran(83) (46149us)          
95752: 5758048           rad(34850,11) (6145us)          
98100: 5758038           rad(54283,9) (5029us)          
100455: 5758015           rad(68035,21) (11808us)          
100725: 5758008           ran(68) (38291us)          
111447: 5758007           rad(27668,15) (8515us)          
114106: 5757994           ran(31) (17722us)          
132705: 5757989           seq(68160,10) (5794us)          
159723: 5757983           rad(61199,12) (7114us)          
176295: 5757966           rad(38465,27) (16134us)          
179878: 5757956           ran(12) (7164us)          
184553: 5757947           ran(32) (19182us)          
184620: 5757938           ran(123) (73838us)          
189891: 5757936           rad(90173,29) (17420us)          
190082: 5757909           ran(77) (46323us)          
208658: 5757905           rad(69665,20) (12082us)          
209575: 5757900           ran(10) (6075us)          
218045: 5757898           ran(57) (34506us)          
218049: 5757890           ran(38) (23003us)          
218684: 5757883           rad(12940,9) (5429us)          
255058: 5757876           rad(69864,43) (26300us)          
255833: 5757849           ran(75) (45869us)          
281371: 5757843           rad(33923,8) (4916us)          
282696: 5757840           ran(93) (57356us)          
313040: 5757837           rad(52590,13) (8055us)          
313749: 5757835           ran(29) (18031us)          
334499: 5757829           ran(120) (74728us)          
334531: 5757827           ran(21) (13106us)          
334827: 5757824           ran(51) (31855us)          
341941: 5757818           ran(106) (66186us)          
350876: 5757815           rad(8719,18) (11224us)          
396559: 5757808           rad(70585,6) (3766us)          
396605: 5757806           ran(44) (27665us)          
428921: 5757796           rad(68958,15) (9476us)          
525761: 5757790           rad(34058,42) (26877us)          
525801: 5757786           ran(16) (10233us)          
526060: 5757784           ran(28) (17880us)          
526142: 5757780           ran(38) (24361us)          
570948: 5757762           ran(48) (30584us)          
586454: 5757758           ran(46) (29365us)          
588074: 5757756           ran(85) (54298us)          
594753: 5757753           rad(53300,6) (3813us)          
626365: 5757751           rad(94830,22) (14063us)          
681850: 5757745           ran(132) (84667us)          
694414: 5757738           rad(61715,32) (20545us)          
727748: 5757730           rad(22064,6) (3840us)          
734755: 5757729           ran(126) (81110us)          
792079: 5757726           rad(1668,22) (14234us)          
792108: 5757723           ran(28) (18054us)          
792334: 5757717           ran(56) (36192us)          
794892: 5757712           ran(55) (35518us)          
795020: 5757701           ran(52) (33623us)          
856083: 5757692           rad(78032,10) (6498us)          
859424: 5757687           ran(84) (54244us)          
881111: 5757684           rad(9528,15) (9697us)          
881155: 5757683           ran(18) (11592us)          
881392: 5757680           ran(29) (18701us)          
884236: 5757669           rad(39255,13) (8471us)          
940329: 5757658           rad(72090,16) (10324us)          
5757658           local minimum found (1000000 greedy mutations; seed=1234)

760017           ms (only recreate)


44707.97user 6.60system 12:25:33elapsed 99%CPU (0avgtext+0avgdata 12065792maxresident)k
23441904inputs+1816outputs (0major+3016066minor)pagefaults 0swaps
